,subj,handedness,finger,hand,dominant_hand,time_bin,taps_bin
259,43,right,pinky,left,False,1,48
260,43,right,pinky,left,False,2,43
261,43,right,pinky,left,False,3,49
262,43,right,pinky,left,False,4,45
263,43,right,pinky,left,False,5,43
264,44,right,index,right,True,0,74
265,44,right,index,right,True,1,70
266,44,right,index,right,True,2,65
267,44,right,index,right,True,3,57
268,44,right,index,right,True,4,59
269,44,right,index,right,True,5,52
270,45,right,index,left,False,0,64
271,45,right,index,left,False,1,58
272,45,right,index,left,False,2,55
273,45,right,index,left,False,3,52
274,45,right,index,left,False,4,56
275,45,right,index,left,False,5,55
276,46,right,index,right,True,0,62
277,46,right,index,right,True,1,61
278,46,right,index,right,True,2,56
279,46,right,index,right,True,3,57
280,46,right,index,right,True,4,56
281,46,right,index,right,True,5,52
282,47,right,pinky,left,False,0,54
283,47,right,pinky,left,False,1,51
284,47,right,pinky,left,False,2,47
285,47,right,pinky,left,False,3,46
286,47,right,pinky,left,False,4,46
287,47,right,pinky,left,False,5,44
288,48,right,index,right,True,0,58
289,48,right,index,right,True,1,55
290,48,right,index,right,True,2,52
291,48,right,index,right,True,3,52
292,48,right,index,right,True,4,51
293,48,right,index,right,True,5,50
294,49,right,pinky,right,True,0,52
295,49,right,pinky,right,True,1,53
296,49,right,pinky,right,True,2,45
297,49,right,pinky,right,True,3,50
298,49,right,pinky,right,True,4,52
299,49,right,pinky,right,True,5,48
300,50,right,index,right,True,0,74
301,50,right,index,right,True,1,70
302,50,right,index,right,True,2,65
303,50,right,index,right,True,3,64
304,50,right,index,right,True,4,70
305,50,right,index,right,True,5,63
306,51,right,index,right,True,0,70
307,51,right,index,right,True,1,68
308,51,right,index,right,True,2,64
309,51,right,index,right,True,3,64
310,51,right,index,right,True,4,64
311,51,right,index,right,True,5,58
312,52,right,pinky,left,False,0,60
313,52,right,pinky,left,False,1,71
314,52,right,pinky,left,False,2,57
315,52,right,pinky,left,False,3,53
316,52,right,pinky,left,False,4,50
317,52,right,pinky,left,False,5,47
318,53,right,pinky,right,True,0,61
319,53,right,pinky,right,True,1,62
320,53,right,pinky,right,True,2,53
321,53,right,pinky,right,True,3,55
322,53,right,pinky,right,True,4,56
323,53,right,pinky,right,True,5,48
324,54,left,pinky,right,False,0,54
325,54,left,pinky,right,False,1,48
326,54,left,pinky,right,False,2,44
327,54,left,pinky,right,False,3,45
328,54,left,pinky,right,False,4,44
329,54,left,pinky,right,False,5,36
330,55,left,pinky,right,False,0,64
331,55,left,pinky,right,False,1,66
332,55,left,pinky,right,False,2,68
333,55,left,pinky,right,False,3,69
334,55,left,pinky,right,False,4,69
335,55,left,pinky,right,False,5,60
336,56,right,pinky,left,False,0,58
337,56,right,pinky,left,False,1,51
